5444
qstr_Recieved_damage_from Recieved_damage_from_fire!
qstr_Accurate_Province_Na Accurate_Province_Names
qstr_Simple_Province_Name Simple_Province_Names
qstr_Normal_Names Normal_Names
qstr_Campaign_type Campaign_type
qstr_STORY:_SON_OF_ROME STORY:_SON_OF_ROME
qstr_ROYAL_SANDBOX ROYAL_SANDBOX
qstr_LORDLY_SANDBOX LORDLY_SANDBOX
qstr_SANDBOX SANDBOX
qstr_Difficulty_Type Difficulty_Type
qstr_ACAN_GIGA_CHAD ACAN_GIGA_CHAD
qstr_ACAN_CHAD ACAN_CHAD
qstr_BORING__NORMAL_ BORING_(NORMAL)
qstr_DISCORD_SCHIZO DISCORD_SCHIZO
qstr_LOSER__CUSTOM_ LOSER_(CUSTOM)
qstr_These_options_can_be These_options_can_be_changed_later_in_the_camp_menu.^The_Diplomacy_preferences_can_be_found_in_the_camp_menu_too.
qstr_Reduced_to_1/4__Easi Reduced_to_1/4_(Easiest)
qstr_Reduced_to_1/2__Easy Reduced_to_1/2_(Easy)
qstr_Reduced_to_1/2__Easi Reduced_to_1/2_(Easiest)
qstr_Reduced_to_3/4__Easy Reduced_to_3/4_(Easy)
qstr_Slowest Slowest
qstr_Slower Slower
qstr_Faster Faster
qstr_Fastest Fastest
qstr_Warcry Warcry
qstr_Player_auxiliary_fea Player_auxiliary_feature
qstr_Autoloot Autoloot
qstr_Realistic_troop_woun Realistic_troop_wounding
qstr_Bodyguards Bodyguards
qstr_Shieldbash Shieldbash
qstr_Governor/lord_appoin Governor/lord_appointment_notification
qstr_Truce_notification_m Truce_notification_menus
qstr_Raid_notification_me Raid_notification_menus
qstr_Lovers_discovered_no Lovers_discovered_notifications
qstr_Senate_meetings_noti Senate_meetings_notifications
qstr_Enemies_spotted_noti Enemies_spotted_notifications
qstr_Lord_gifts_notificat Lord_gifts_notifications
qstr_Warning:_This_option Warning:_This_option_can't_be_disabled_any_more_after_you_click_'{s3}.'
qstr_Choose_a_difficulty_ Choose_a_difficulty_type!
qstr_Notification_about_d Notification_about_discovered_love_affairs
qstr_If_enabled_you_will_ If_enabled,_you_will_receive_messages_about_discovered_love_affairs,_even_if_you_are_not_involved.
qstr_Effects_player_and_a Effects_player_and_allies_during_battles
qstr_When_the_player_make When_the_player_makes_a_warcry_(T-key),_the_player_agents_performe_a_cheer_animation.^^{s8}
qstr_Auxiliar_player_feat Auxiliar_player_feature
qstr_Effects_player_after Effects_player_after_death
qstr_Instead_of_the_death Instead_of_the_death_camera,_the_player_takes_over_the_control_of_a_troop_from_his_own_party,_who_is_still_alive.^^{s8}
qstr_Your_army_needs_regu Your_army_needs_regular_rest_in_a_settlement_or_your_camp_site_from_time_to_time._Lack_of_rest_will_lower_your_troop_morale,_while_resting_will_improve_it._Resting_at_camps_isn't_as_good_as_resting_in_settlements,_while_resting_in_settlements_your_party_will_recieve_an_additional_morale_boost.
qstr_Your_enemies_will_ca Your_enemies_will_cause_double_damage_while_you_cause_only_half.
qstr_Add_decapitation_to_ Add_decapitation_to_battles.
qstr_If_enabled_you_can_i If_enabled,_you_can,_if_your_inventory_management_or_looting_skill_is_higher_than_2,_manage_the_equipement_of_you_companions_automatically.
qstr_The_divisions_of_the The_divisions_of_the_player's_army_will_not_adopt_the_formations_of_shield_wall,_wedge,_or_square._Moreover,_the_F4_menu_that_contains_these_selections_will_no_longer_appear.^^The_default_ranks_formations_will_always_be_adopted_when_the_player_closes_ranks_beyond_the_point_needed_to_make_a_shoulder-to-shoulder_line.
qstr_When_multiple_divisi When_multiple_divisions_are_placed,_they_will_set_up_to_face_the_center_of_the_enemy_forces._Without_this_option,_they_will_set_up_along_the_facing_that_the_player_has_when_he/she_places_them,_although_individual_divisions_will_still_turn_to_face_the_enemy.^^For_example,_with_the_option_OFF_and_the_player_facing_AWAY_from_the_attacker,_infantry_will_set_up_on_the_RIGHT_flank_rather_than_the_LEFT.
qstr_Set_how_much_damage_ Set_how_much_damage_is_done_to_your_character.
qstr_Set_how_much_damage_i Set_how_much_damage_is_done_to_your_army.
qstr_Set_how_well_troops_ Set_how_well_troops_fight._They_fight_worst_at_Beginner_level.
qstr_Campaign_AI_affects_ Campaign_AI_affects_many_aspects_of_the_game,_like:^-_size_of_bandit_parties^-_renown_loss_in_battles^-_chance_of_recruiting_lords^-_taxes^-_how_lords_get_reinforcements^-_how_lords_respond_to_the_player's_requests
qstr_Set_the_running_spee Set_the_running_speed_of_troops_in_battle.^^{s8}
qstr_{s2}_{reg0} {s2}_{reg0}
qstr_Realism_feature Realism_feature
qstr_If_enabled_troops_ma If_enabled,_troops_may_not_die_immediately,_but_instead_get_only_wounded,_depending_damage_done._If_damage_done_is_larger_than_40,_they_will_die,_even_if_a_blunt_weapon_was_used.
qstr_If_enabled_you_will_r If_enabled,_you_will_recieve_notification_menus,_about_alliances,_defensive_pacts,_non-aggression_pacts,_trade_agreements_and_truces_which_have_expired.
qstr_The_player_may_recei The_player_may_receive_specific,_debilitating_wounds_in_battle._Physicians_in_larger_towns_will_treat_these_wounds_for_a_price,_after_which_they_will_heal_within_a_few_days._Any_negative_effects_will_then_be_removed._If_wound_is_not_treated_after_some_time,_it_will_change_to_a_scar,_and_the_negative_effects_will_then_be_permanent.
qstr_Sets_the_player_as_c Sets_the_player_as_commander_of_the_chosen_division._This_division_will_set_up_immediately_left_and_behind_the_player_on_Hold_and_Follow_commands_(Wedge_will_put_player_on_the_point)._Consider_it_for_bodyguard_divisions.
qstr_Village_raid_notific Village_raid_notification_menus
qstr_If_enabled_you_recie If_enabled,_you_recieve_notification_menus_about_your_villages_which_has_been_raided.
qstr_Senate_meetings_notif Senate_meetings_notification_menus
qstr_If_enabled_you_reciev If_enabled,_you_recieve_notification_menus_about_senate_meetings.
qstr_If_enabled_up_to_fou If_enabled,_up_to_four_companions_will_accompany_you_when_you_walk_in_taverns,_through_the_streets_etc.
qstr_If_enabled_you_will_re If_enabled_you_will_receive_messages_about_the_appointment_of_governors/lords_for_empty_provinces/fiefs._The_menu_has_options_for_you_to_use_your_influence_to_change_the_outcome_to_your_liking.
qstr_Enemies_spotted_mess Enemies_spotted_messages
qstr_If_enabled_you_will_rec If_enabled,_you_will_recieve_notification_if_enemies_are_spotted_from_nearby_settlements_or_from_settlements_with_messanger_posts.
qstr_If_enabled_Ai_and_pl If_enabled,_Ai_and_player_can_perform_a_shieldbash_during_battle.
qstr_Lord_gift_Messages Lord_gift_Messages
qstr_If_enabled_you_will_reci If_enabled_you_will_recieve_messages_which_informs_you_about_gifts_a_Lord_gave_his_liege.
qstr_Display_province_nam Display_province_names
qstr_Normal_Names:^Settle Normal_Names:^Settlements_are_named_like_in_previous_versions.^Accurate_Province_Names:^In_the_name_of_the_settlement,_the_province_name_is_displayed,_e.g._Lutetia_->_Lutetia_(Lugdunensis)^Simple_province_names:^A_simplified,_more_general,_name_of_the_province_will_be_displayed,_e.g._Lutetia_->_Lutetia_(GL),_where_GL_stands_for_Gaul_(abbreviations_can_be_found_under_game_concepts)
qstr_Choose_a_campaign_ty Choose_a_campaign_type
qstr_Story:_Take_part_in_ Story:_Take_part_in_an_epic_story.^Sandbox:_Classic_M&B_sandbox_campaign.^Lordly_Sandbox:_Sandbox_campaign_where_you_start_as_lord^Royal_Sandbox:_Sandbox_camoaign_where_you_start_as_king.
qstr_{s3}^^{s4} {s3}^^{s4}
qstr_Go_back Go_back
qstr_You_can_tweak_some_o You_can_tweak_some_of_those_variables_^if_you_are_not_satisfied_with_the_default_battles.
qstr_Battleratio_Multipli Battleratio_Multiplier
qstr_Moralshock_Multiplie Moralshock_Multiplier
qstr_Runaway_Threshold Runaway_Threshold
qstr_Morale_Modifier_I Morale_Modifier_I
qstr_Morale_Modifier_II Morale_Modifier_II
qstr_Field_battle_reinfor Field-battle_reinforcements
qstr_Heroes_effect_morale Heroes_effect_morale
qstr_Ranged_troop_penalty Ranged_troop_penalty
qstr_Morale_recovery Morale_recovery
qstr_Morale_messages__deb Morale_messages_(debug)
qstr_Double_reinforcement Double_reinforcements_during_sieges
qstr_Battleratio_Multiplie Battleratio_Multiplier:_{reg0}
qstr_Tweak Tweak
qstr_The_battleratio_is_u The_battleratio_is_used_to_decide_for_a_troop_on_the_battlefield_either_to_run_away_or_not._By_increasing_this_value,_troops_are_more_likely_to_run_away_if_they_are_outnumbered._Decreasing_this_value_will_make_it_less_likely_that_troops_run_away._(default_is_6000)
qstr_Moralshock_Multiplier Moralshock_Multiplier:_{reg0}
qstr_Increasing_this_valu Increasing_this_value_will_increase_morale_penalties_from_high_casualities_in_short_times._(default_is_30)
qstr_Runaway_Threshold:_{ Runaway_Threshold:_{reg0}
qstr_The_higher_the_value The_higher_the_value,_the_lower_is_the_morale_threshold,_at_which_troops_start_to_rout._A_lower_threshold_will_make_it_less_likely_that_troops_run_away._(default_is_10)
qstr_Morale_Modifier_I:_{ Morale_Modifier_I:_{reg0}
qstr_This_modifies_the_mo This_modifies_the_morale_gain_for_killing_enemy_troops._Whenever_an_enemy_dies,_the_killer_troop_and_his_allies_will_gain_morale._If_it_is_set_to_zero,_there_will_be_no_effect_at_all._(default_is_1)
qstr_Morale_Modifier_II:_ Morale_Modifier_II:_{reg0}
qstr_This_modifies_the_mor This_modifies_the_morale_change_for_losing_troops._Whenever_an_allied_troop_dies,_his_allies_will_suffer_a_morale_penalty._If_it_is_set_to_zero,_there_will_be_no_effect_at_all._(default_is_-4)
qstr_Number_of_reinforcem Number_of_reinforcements_during_battles_(not_sieges):_{reg0}
qstr_Sets_the_number_of_r Sets_the_number_of_reinforcements_during_field_battles_(not_sieges).
qstr_Morale_effect_of_lea Morale_effect_of_leaders_(Companions_and_Lords)
qstr_If_enabled_the_lose_ If_enabled,_the_lose_of_a_leader_(lords,_companions,_the_player)_will_cause_a_morale_penalty_for_the_allied_side_and_a_morale_boost_for_the_enemy_side._Additionally,_AI_leaders_will_encourage_nearby_troops_whenever_an_ally_troop_is_killed._(default_is_enabled)
qstr_Ranged_troop_morale_ Ranged_troop_morale_penalty
qstr_Missle_troops_reciev Missle_troops_recieve_a_morale_penalty_when_they_enter_melee_combat._(default_is_enabled)
qstr_If_enabled_morale_wi If_enabled,_morale_will_recover_every_three_seconds._The_rate_depends_on_the_number_of_alive_allies._(default_is_enabled)
qstr_Morale_messages Morale_messages
qstr_Debug_Option Debug_Option
qstr_If_enabled_you_can_r If_enabled,_you_can_recieve_messages_about_the_morale_of_each_troop_on_the_battlefield_by_pressing_the_'K'_key._You_will_also_recieve_a_message_when_a_troop_starts_routing._(should_be_disabled,_will_spawn_your_screen_with_messages)
qstr_Will_double_the_rein Will_double_the_reinforcements_during_sieges._As_a_result,_large_sieges_battles_will_take_longer.
qstr_Select_a_unit Select_a_unit
qstr__Click_on_the_name_t (Click_on_the_name_to_select_a_unit_and_click_again_to_show_unit_details)
qstr_Your_party_informati Your_party_information:
qstr_Party_size:_{reg1}_m Party_size:_{reg1}_men,_Wage:_{reg2}_denars,_^Party_limit:_{reg3}_men._Your_gold:_{reg4}_denars.
qstr_officers officers
qstr_nobles nobles
qstr_Available_{s12}:_{re Available_{s12}:_{reg2}.
qstr_Available_recruits:_ Available_recruits:_{reg2}.
qstr_Selected_troop:_{s2} Selected_troop:_{s2}
qstr_Wage:_{reg40}_denars Wage:_{reg40}_denars._Recruitment_cost:_{reg41}_denars.
qstr_Nobles: Nobles:
qstr_Soldiers: Soldiers:
qstr_Custom_Troops: Custom_Troops:
qstr_Officers: Officers:
qstr_Recruit_{reg43}_troo Recruit_{reg43}_troops_for_{reg44}_denars.
qstr_Recruit Recruit
qstr_There_are_not_enough There_are_not_enough_recruits_available!
qstr_You_don_t_have_enoug You_don't_have_enough_space_in_your_party,_or_you_don't_have_enough_denars!
qstr_{!}Take_10 {!}Take_10
qstr_Overview Overview
qstr_Hint:^The_next_promo Hint:^The_next_promotion_will_happen_after_you_completed_the_{reg0}th_event_and_you_reached_more_than_{reg2}_progress_points._Right_now_you_are_at_event_{reg21}._Until_you_reach_the_{reg0}th_event_your_accumulated_progress_points_are_limited_by_{reg3}.
qstr_Commander:_{s19} Commander:_{s19}
qstr_Relation:_{reg0} Relation:_{reg0}
qstr_Enlisted_Legion:_{s2 Enlisted_Legion:_{s20}
qstr_Current_Rank:_{s21} Current_Rank:_{s21}
qstr_Troops_you_can_comma Troops_you_can_command:_{reg50}
qstr_{reg0}_/_{reg1} {reg0}_/_{reg1}
qstr_Promotion_progress:_ Promotion_progress:_{s1}
qstr_Event_progress:_{reg Event_progress:_{reg21}_of_{reg23}
qstr_Total_days_in_servic Total_days_in_service:_{reg20}
qstr_Current_Wage:_{reg23 Current_Wage:_{reg23}_denars.
qstr_Next_pay_day:_{s25} Next_pay_day:_{s25}
qstr_Legion_s_troops Legion's_troops
qstr_Total:_{reg26} Total:_{reg26}
qstr_Done Done
qstr_Settlement_Overview Settlement_Overview
qstr_Hint:_Press_on_the_S Hint:_Press_on_the_Settlement_name_to_manage^its_buildings,_edicts_etc.
qstr_Edicts Edicts
qstr_{s30}^_{s3} {s30},^_{s3}
qstr_{s30}_{s3} {s30},_{s3}
qstr__Selected_Auxiliar_u _Selected_Auxiliar_unit:_{s20}_
qstr_Hint:_Select_the_coh Hint:_Select_the_cohort_which_you_will_command.
qstr_Preview: Preview:
qstr_Auxiliar_cohort Auxiliar_cohort
qstr_You_haven_not_select You_haven_not_selected_a_unit_yet!
qstr_Selected_Legion:_{s2 Selected_Legion:_{s20}
qstr_Hint:_Select_the_leg Hint:_Select_the_legion_you_will_command.
qstr_Legions Legions
qstr_{s10}_is_dismissed_f {s10}_is_dismissed_from_service!
qstr_Legions_of_Rome Legions_of_Rome
qstr_Hint:_You_can_sugges Hint:_You_can_suggest_to_change_the_legate_of_a_legion._Though_you_cannot_suggest_to_change_the_commander_of_the_preatorian_guard._Just_press_on_the_name_of_a_legate_whom_you_wish_to_change.
qstr_Hint:_You_can_change Hint:_You_can_change_the_legate_of_a_legion_by_pressing_on_the_name_of_the_respective_legate._You_can_change_the_headquarter_of_the_legion_by_pressing_on_the_respective_down_name._You_can_also_disband_existing_legions.
qstr_Hint:_You_can_only_c Hint:_You_can_only_change_the_legate_of_a_legion_or_disband_it_while_talking_with_your_military_advicor_(who_can_be_found_in_the_Domus_Augusti).
qstr_Legion/Auxiliar Legion/Auxiliar
qstr_Legate/Tribune Legate/Tribune
qstr_Personality Personality
qstr_Headquarter Headquarter
qstr_State State
qstr_You. You.
qstr_Inactive Inactive
qstr_Size:_{reg4}_men. Size:_{reg4}_men.
qstr_DISBAND DISBAND
qstr_IN_BATTLE IN_BATTLE
qstr_{s23} {s23}
qstr_Raise Raise
qstr_Not_created_yet. Not_created_yet.
qstr_Generating_Map Generating_Map
qstr_Can_t_disband_the_le Can't_disband_the_legion_as_it_is_in_battle!
qstr_The_{s23}_which_is_a The_{s23},_which_is_attached_to_the_legion,_is_still_in_battle._Legion_can't_be_disbanded_now!
qstr_{s49}_is_dismissed_f {s49}_is_dismissed_from_service.
qstr_The_{s52}_has_been_d The_{s52}_has_been_disbanded!
qstr_The_{s23}_has_been_d The_{s23}_has_been_disbanded!
qstr_You_cannot_change_th You_cannot_change_the_legate_as_long_as_the_legion_is_in_battle!
qstr_Can_t_disband_the_au Can't_disband_the_auxiliary_unit_as_it_is_in_battle!
qstr_The_{s5}_has_been_di The_{s5}_has_been_disbanded!
qstr_You_cannot_change_the You_cannot_change_the_tribune_as_long_as_the_cohort_is_in_battle!
qstr_The_legions_headquar The_legions_headquarters_are_in_{s20}
qstr_The_legion_has_no_he The_legion_has_no_headquarters.
qstr_{s20}_is_the_current {s20}_is_the_current_legate._{s23}.
qstr_You_are_the_current_ You_are_the_current_legate._{s23}.
qstr_The_legion_has_no_le The_legion_has_no_legate_at_all._{s23}.
qstr_You_can_select_a_new You_can_select_a_new_legate_for_{s22}._{s21}
qstr_You_can_suggest_anot You_can_suggest_another_legate_for_{s22}._{s21}_Your_influence:_{reg23}.
qstr_Current_relation_wit Current_relation_with_the_legate:_{reg20}._Personality_of_the_legate:_{s22}.
qstr_Hint:_To_change_the_ Hint:_To_change_the_legate_press_on_the_image_of_the_respective_character!
qstr_Available_nobles_and Available_nobles_and_companions:
qstr_{s22}_relation:_{reg {s22},_relation:_{reg20}
qstr_Personality:_{s22} Personality:_{s22}
qstr_Influence_cost:_{reg Influence_cost:_{reg0}
qstr_{s51}_is_the_new_leg {s51}_is_the_new_legate_of_{s52}!
qstr_The_{s5}_is_part_of_ The_{s5}_is_part_of_{s19}_with_headquarters_in_{s20}
qstr_The_{s5}_is_part_of_{ The_{s5}_is_part_of_{s19},_which_has_no_headquarters_currently.
qstr_{s20}_is_the_current_ {s20}_is_the_current_tribune._{s23}.
qstr_You_are_the_current_t You_are_the_current_tribune._{s23}.
qstr_The_legion_has_no_tr The_legion_has_no_tribune_at_all._{s23}.
qstr__You_can_select_a_ne _You_can_select_a_new_tribune_for_{s5}._{s21}_
qstr__You_can_suggest_ano _You_can_suggest_another_tribune_for_{s5}._{s21}_Your_influence:_{reg23}_
qstr_Current_relation_with Current_relation_with_the_tribune:_{reg20}._Personality_of_the_tribune:_{s22}
qstr_Hint:_To_change_the_t Hint:_To_change_the_tribune_press_on_the_image_of_the_respective_character!
qstr_{s51}_is_the_new_tri {s51}_is_the_new_tribune_of_{s5}!
qstr_You_can_change_the_h You_can_change_the_headquarters_of_the_{s1}_by_clicking_on_the_respective_town._Currently,_it_is_in_{s2}_and_marked_with_an_eagle._The_headquarters_of_other_legions_are_marked_with_a_golden_dot.
qstr_Current_headquarter. Current_headquarter.
qstr_{s1}_is_the_new_head {s1}_is_the_new_headquarter_of_the_{s2}
qstr__You_can_influence_t _You_can_influence_the_Princeps_to_change_governors_
qstr_Hint:_Only_imperial_ Hint:_Only_imperial_provinces_are_displayed_as_senatorial_provinces_are_under_control_of_the_senate.
qstr_Province Province
qstr_Governor Governor
qstr_Change_Governor__Use Change_Governor_(Use_Influence)
qstr_You_can_influence_th You_can_influence_the_Senate_to_change_governors
qstr_Click_on_the_provinc Click_on_the_province_name_to_change_its_typ_to_imperial.
qstr_Hint:_Only_senatoria Hint:_Only_senatorial_provinces_are_displayed_as_imperial_provinces_are_under_control_of_the_Princeps._{s0}
qstr_Change_Governor__sen Change_Governor_(senate_support)
qstr__Province_List_ _Province_List_
qstr_Hint:_You_can_select Hint:_You_can_select_a_new_governor_only_for_Imperial_provinces._The_senate_will_assign_governors_for_senatorial_provinces_automatically._Click_on_the_province_type_to_MAKE_IMPERIAL_PROVINCES_SENATORIAL._TO_MAKE_SENATORIAL_PROVINCES_IMPERIAL_you_need_to_VISIT_THE_SENATE.
qstr_Type Type
qstr_Senatorial Senatorial
qstr_Imperial Imperial
qstr_Change_Governor Change_Governor
qstr_Assign_Governor Assign_Governor
qstr_Due_to_the_civil_war Due_to_the_civil_war_the_province_is_in_turmoil.
qstr_It_is_not_possible_t It_is_not_possible_to_change_the_governor_now.
qstr_Can_t_grant_capital! Can't_grant_capital!
qstr_Currently_the_provin Currently_the_province_is_governed_by_{s20}.
qstr_Currently_the_provinc Currently_the_province_is_governed_by_you.
qstr_The_province_has_no_ The_province_has_no_governor_at_all.
qstr__You_can_select_a_new _You_can_select_a_new_governor_for_{s22}._{s21}_
qstr_Current_relation_with_ Current_relation_with_the_governor:_{reg20}._Personality_of_the_governor:_{s22}
qstr__Do_you_wish_to_appo _Do_you_wish_to_appoint_{s40}_as_governor_for_{s22}?
qstr__{s21}_ _{s21}_
qstr_Current_governor:_{s Current_governor:_{s30}.^Relation:_{reg20}.^Personality:_{s22}
qstr_Current_governor:_{s3 Current_governor:_{s30}_(You).
qstr_Choice:_{s33}.^Relat Choice:_{s33}.^Relation:_{reg20}.^Personality:_{s22}
qstr_Choice:_{s33}__you_. Choice:_{s33}_(you).
qstr_{s0}_Thus_replacing_ {s0}_Thus,_replacing_the_current_governor_will_result_in_a_relation_loose_with_him.
qstr_Accept Accept
qstr_Are_you_sure_you_wan Are_you_sure_you_want_to_make_{s22}_a_senatorial_province?
qstr_Currently_the_province Currently_the_province_is_governed_by_{s20}._The_current_governor_will_continue_governing_the_province_for_one_year_and_then_the_senate_will_elect_a_new_one.
qstr_Currently_the_province_ Currently_the_province_is_governed_by_you._You_will_continue_governing_the_province_for_one_year_and_then_the_senate_will_elect_a_new_one.
qstr_{s21} {s21}
qstr_A_hint_from_your_adv A_hint_from_your_advisors:_Senatorial_provinces_are_known_to_be_more_corrupt_as_imperial_provinces,_as_there_is_no_way_to_inspect_them_via_procurators._Also_during_events_the_possible_choices_will_be_limited.
qstr_Are_you_sure_you_want Are_you_sure_you_want_to_make_{s22}_an_imperial_province?^Required_senate_support:_66%._Current_senate_support:_{reg10}.
qstr_Currently_the_province_i Currently_the_province_is_governed_by_{s20}._The_current_governor_will_continue_governing_the_province_until_you_change_him.
qstr_Currently_the_province_is Currently_the_province_is_governed_by_you._You_will_continue_governing_the_province_until_you_change_him.
qstr_The_province_has_no_g The_province_has_no_governor_at_all._You_will_have_to_elect_one.
qstr_You_need_more_senate You_need_more_senate_support!
